"房源标题";"价格";"出租方式";"户型";"建筑面积";"朝向";"楼层";"装修";"小区名称";"地址"
"浅水湾漂亮装修靓房出来了 业主刚搬走 房子一看就喜欢";"25000元/月（押二付一）";"整租";"5室2厅2卫";"180平米";"南北";"低层";"精装修";"卓越浅水湾 (南山/科技园)";"南山区科技园南区高新南环路61号"
"三湘海尚花园二期 精装修，保养好，可配齐家私，看房方便";"23000元/月（押一付一）";"整租";"5室2厅1卫";"175平米";"南北";"低层";"简装修";"三湘海尚 (南山/蛇口)";"南山工业八路与后海滨路交汇处"
"一房一厅丨丨业主给使用丨5号前丨配套齐全";"3200元/月（押二付一）";"整租";"1室1厅1卫";"43平米";"东";"高层";"简装修";"布心工业区 (罗湖/布心)";"东晓路3001号布心工业区"
"栖游记精装一房，高楼层无遮挡，花园社区，看房方便";"4300元/月（押二付一）";"整租";"1室1厅1卫";"31平米";"南北";"高层";"精装修";"栖游记 (南山/蛇口)";"后海大道与花果山路交汇处"
"纯水岸一期复式豪装 带花园 看湖景 有私家车位 中空客厅 有钥匙";"55000元/月（押二付一）";"整租";"5室1厅3卫";"288平米";"南北";"中层";"精装修";"纯水岸一期 (南山/华侨城)";"南山区华侨城香山中街"
"颐安都会2期 客厅阳台朝南 78平 3房 家私齐全 4300月";"4300元/月（押一付二）";"整租";"3室2厅1卫";"78平米";"南";"高层";"精装修";"颐安都会中央 (龙岗/龙岗中心城)";"地铁3号线大运站C出口"
"中旅国际 园林式豪宅 全新豪华装修，安静看小区花园";"13000元/月（押二付一）";"整租";"3室2厅2卫";"118平米";"南北";"中层";"精装修";"中旅国际公馆二期 (福田/农科中心)";"福田农科中心农林路玉润田路交汇处"
"业主现全 齐出租 装修保养好 可随时入住 交通便利 价格可议";"5300元/月（押二付一）";"整租";"3室2厅2卫";"89平米";"南";"中层";"豪华装修";"佳兆业城市广场 (龙岗/坂田)";"坂雪岗大道与布澜大道交汇处"
"大南山旁 口 大型商围绕 泛海城市广场一房 价格实惠租";"4000元/月（面议）";"整租";"1室1厅1卫";"40平米";"南北";"中层";"精装修";"泛海城市广场 (南山/前海)";"前海路与兴海大道交汇东北侧（泛海拉菲花园二期南侧）"
"光明新区 牛山公园 精装三房 家私家电齐全 离近周边生活配套齐全";"2000元/月（押一付三）";"整租";"3室2厅1卫";"85平米";"南";"中层";"简装修";"富安花园 (光明新区/光明)";"宝安区光明街道"
"彩天名苑新出一房，业主出租，1号线岗厦站口，先到先得";"5800元/月（押二付一）";"整租";"1室1厅1卫";"48平米";"南北";"高层";"精装修";"彩天名苑 (福田/福田中心区)";"彩田路与深南大道交汇处"
"福莲花园三房，近莲花，田面设计之都";"6800元/月（押二付一）";"整租";"3室2厅1卫";"95平米";"南北";"高层";"简装修";"福莲花园 (福田/莲花)";"红荔路5011号"
"现房实图 美荔园126平精装大3房 家电全齐 随时看房";"12000元/月（押二付一）";"整租";"3室2厅1卫";"126平米";"西南";"中层";"精装修";"美荔园 (罗湖/蔡屋围)";"红岭中路1018号，荔枝公园正门对面"
"低价格高品质单间";"3100元/月（押一付三）";"整租";"1室1厅1卫";"34平米";"东南";"中层";"简装修";"西城品阁 (宝安/新安)";"前进路与新安路交汇处"
"底价出租信和自由广场72.63平采光好拎包随时就可以入住";"5200元/月（押二付一）";"整租";"2室2厅1卫";"73平米";"南";"低层";"简装修";"信和自由广场 (南山/南油)";"南海大道与东滨路交汇处"
"龙华轻轨站物业，装修风格，可直接拎包入住，业主诚心";"2800元/月（押二付一）";"整租";"1室1厅1卫";"50平米";"南";"高层";"精装修";"大唐时代公寓 (龙华区/龙华)";"深圳市龙华清湖梅龙大道与清龙"
"环境优美，舒适";"5900元/月（面议）";"整租";"1室1厅1卫";"63平米";"南";"低层";"精装修";"侨城馨苑 (南山/华侨城)";"香山中街西南侧"
"水湾1979低调的奢华，南北正规大三房，等您来哟！";"13000元/月（押一付三）";"整租";"3室1厅1卫";"146平米";"南北";"高层";"豪华装修";"水湾1979 (南山/蛇口)";"蛇口太子路与荔园路交汇（水湾地铁站D出口）"
"双 尊贵享受型复式两房总裁 豪华装修 看房方便";"14000元/月（押二付一）";"整租";"2室2厅2卫";"118平米";"南北";"中层";"精装修";"中洲中央公园 (宝安/新安)";"深圳宝安区创业路与前进路交汇处"
"业主房放租了，现状吉房放租 客厅出阳台 厨房带大露台";"19000元/月（押二付一）";"整租";"4室2厅2卫";"142平米";"南北";"低层";"精装修";"岸芷汀兰 (南山/科技园)";"深圳市南山区高新南环路2号"
"实拍 首出租 南向，高楼层实价家私全齐随时可看房";"13000元/月（押二付一）";"整租";"3室2厅2卫";"121平米";"南";"高层";"精装修";"百仕达乐湖 (罗湖/水库)";"太宁路北侧东乐路东侧东湖公园西侧"
"2600元 3号线 爱联站 名居广场 家私电全齐";"2000元/月（押二付一）";"整租";"1室0厅1卫";"32平米";"南";"高层";"简装修";"名居广场 (龙岗/龙岗中心城)";"龙岗大道和如意路交汇处，地铁3号线爱联站西北侧"
"海印长城两房一厅 诚意出租 周边交通方便 急租";"6500元/月（押二付一）";"整租";"2室1厅1卫";"68平米";"南北";"中层";"毛坯";"海印长城二期 (南山/南山中心区)";"广东省深圳市南山区海德三道201"
"双玺公馆 全新大2房 豪华装修 家私全齐 看房方便";"15000元/月（押二付一）";"整租";"2室2厅1卫";"88平米";"南";"高层";"豪华装修";"海上双玺花园一期 (南山/蛇口)";"南山蛇口望海路南侧"
"豪方天际 科技园 精装大三房 俯瞰中山公园 天然氧吧";"7500元/月（面议）";"整租";"3室2厅1卫";"78平米";"西南";"中层";"精装修";"豪方天际 (南山/南头)";"北环大道与南山大道交汇处"
"华润城润府二期 高层四房 双主卧设计 赠送入户花园 看房有密码";"30000元/月（押二付一）";"整租";"4室2厅3卫";"188平米";"南";"高层";"豪华装修";"润府（一期） (南山/科技园)";"深圳市南山区深科发路与铜鼓路交汇处东北角"
"人才公园旁 别墅两房、家私电器全齐、客厅出阳台";"10000元/月（押二付一）";"整租";"2室2厅1卫";"82平米";"南北";"高层";"豪华装修";"东海万豪广场 (南山/科技园)";"南山区科技园高新南十一道"
"温馨舒适的家 潜龙鑫茂花园 小区绿化高 居家舒适休闲 拎包入住";"4300元/月（押二付一）";"整租";"2室2厅1卫";"69平米";"南";"中层";"精装修";"潜龙鑫茂花园 (龙华区/民治)";"深圳市宝安区民丰路173号"
"11号线 中海精装两房 家电全齐 拎包入住 有钥匙看房方便";"2500元/月（押二付一）";"整租";"2室2厅1卫";"54平米";"南";"中层";"精装修";"中海西岸华府 (宝安/松岗)";"松岗沙江西路与朗碧路交汇处"
"皇后道别墅，带私家花园，客厅大气，大花园业主刚放租";"50000元/月（押二付一）";"整租";"9室5厅7卫";"262平米";"南北";"高层";"豪华装修";"卓越皇后道 (龙华区/民治)";"人民路与新区大道交汇处东南侧"
"保税区大三房 生活方便 户型很大适合住家 有心租 海鹏苑";"4300元/月（押二付一）";"整租";"3室2厅2卫";"93平米";"南";"中层";"精装修";"海鹏苑 (盐田/沙头角)";"盐田区沙头角深盐路"
"御河堤朝花园内精装一房一厅，双面采光居家安静带阳台";"5000元/月（押二付一）";"整租";"1室1厅1卫";"38平米";"西";"高层";"精装修";"御河堤 (福田/上步)";"红岭南路与东园路交汇处岁宝百货旁"
"汇文苑 地铁沿线 位置好 周边配套齐全 中间楼层 两房适合居家";"4200元/月（押二付一）";"整租";"2室2厅1卫";"53平米";"南";"中层";"精装修";"汇文苑 (南山/西丽)";"南山区西丽龙珠大道旁"
"网红集中地 真正的地/铁口，出了家门就上地铁";"5000元/月（押二付一）";"整租";"2室2厅1卫";"65平米";"南";"中层";"精装修";"佳兆业大都汇 (龙岗/布吉)";"地铁3、5号线交汇处布吉站出入口"
"安家优选 佳宁娜广场 2室1厅 77平";"7000元/月（面议）";"整租";"2室1厅1卫";"78平米";"南";"低层";"精装修";"佳宁娜友谊广场 (罗湖/人民南)";"深圳市罗湖区人民南路2002号"
"家私电器全齐，有钥匙可看现房";"20000元/月（押二付一）";"整租";"3室2厅2卫";"147平米";"南";"中层";"简装修";"兰溪谷 (南山/蛇口)";"蛇口沿山路与工业四路交汇处"
"前面是城市的风景与历史，后面是城市的经济与未来";"4500元/月（押二付一）";"整租";"1室1厅1卫";"32平米";"东南";"高层";"简装修";"丽阳天下 (福田/石厦)";"滨河路与新洲路交叉路口东南"
"业主诚租 中海天钻 高层南向精装配新家私电器 直面香港山水";"16000元/月（押二付一）";"整租";"3室2厅2卫";"100平米";"南";"高层";"精装修";"中海天钻 (罗湖/蔡屋围)";"桂园街道滨河路与红岭路交汇处东南侧"
"精装两房出租 4700可谈 接受短租";"4700元/月（押二付一）";"整租";"2室2厅1卫";"74平米";"南北";"高层";"中装修";"万科第五园一期 (龙岗/坂田)";"龙岗梅观高速与布龙公路交汇处"
"大学城，安静舒适大三房，家电全齐，看房方便。";"7500元/月（押二付一）";"整租";"3室2厅2卫";"97平米";"南北";"低层";"精装修";"桑泰丹华 (南山/西丽)";"西丽深圳大学城附近"
"壹城全新精装五房，前后无遮挡，随时可看，拎包";"6800元/月（押二付一）";"整租";"5室2厅2卫";"104平米";"南";"高层";"精装修";"鸿荣源·壹成中心花园 (龙华区/龙华)";"人民路与建设路交汇处"
"东方尊峪 高楼层 精装修 厅出阳台 家私齐全 随时可以入住";"12000元/月（押二付一）";"整租";"3室2厅2卫";"136平米";"北";"高层";"精装修";"万科东方尊峪 (罗湖/莲塘)";"罗湖区罗沙路2018号"
"东方华都 精装一房一厅出租 家私电器齐全 保养好 家的感觉 速度";"3900元/月（押二付一）";"整租";"1室1厅1卫";"40平米";"南";"中层";"精装修";"京基东方华都 (罗湖/黄贝岭)";"文锦中路螺岭小学旁"
"保利城花园 来福士旁车位足 漂亮 近海岸城 人才公园";"9500元/月（押二付一）";"整租";"2室2厅1卫";"91平米";"南";"高层";"简装修";"保利城花园 (南山/南山中心区)";"深圳市南山区南海大道2710号"
"布心口 太白居，二楼三房出租，看房联系我，有钥匙";"5600元/月（押一付三）";"整租";"3室2厅1卫";"88平米";"南北";"低层";"简装修";"太白居 (罗湖/布心)";"罗湖区东晓路3028号"
"好房出租 百仕达五期 精装东向三房 高楼层 一线东湖美景";"15000元/月（押二付一）";"整租";"3室2厅2卫";"121平米";"东";"高层";"精装修";"百仕达花园五期 (罗湖/水库)";"太宁路北侧东乐路东侧东湖公园西侧"
"大新地铁口住宅，东方银座公馆精装复式两房，业主初次出租！";"6500元/月（押二付一）";"整租";"2室2厅2卫";"63平米";"南";"中层";"精装修";"东方银座公馆 (南山/前海)";"前海路与学府路交汇处以东"
"雍景湾精装大两房出租，和公园，舒适";"11000元/月（押二付一）";"整租";"2室2厅1卫";"83平米";"南北";"低层";"简装修";"招商雍景湾 (南山/蛇口)";"深圳市南山区爱榕路48号"
"中海精装排屋出租";"9000元/月（押二付一）";"整租";"5室2厅2卫";"134平米";"南";"低层";"精装修";"中海怡翠山庄四期 (龙岗/布吉)";"布龙公路与深惠公路交汇处北侧"
"新 汇金家园，精致两房，户型方正，正南朝向，楼层佳，阳光充足";"6000元/月（押二付一）";"整租";"2室2厅1卫";"73平米";"南";"中层";"精装修";"汇金家园 (南山/南头)";"艺园路与玉泉路交汇处"
"星河华居精装两房,户型方正,采光通风,业主诚心";"6800元/月（押二付一）";"整租";"2室2厅1卫";"68平米";"南";"中层";"简装修";"星河华居 (福田/皇岗)";"深圳市福田区福港路26号"
"近 启典精装小复式 家电全齐 独立厨房 随时入住看房方便";"2480元/月（押二付一）";"整租";"1室1厅1卫";"37平米";"南北";"高层";"豪华装修";"珠光苑 (南山/西丽)";"南山西丽沙河西路"
"罗宝线固戍式小区 复式精致一房几站到高新园深大 即看就住";"2000元/月（押二付一）";"整租";"1室1厅1卫";"54平米";"南";"高层";"精装修";"万象新天二期 (宝安/西乡)";"固戍二路与宝安大道交汇处"
"城市东座聚宝路口旁靓装一房全齐出租拎包入住 业主诚心出租有钥";"3500元/月（押二付一）";"整租";"1室1厅1卫";"38平米";"北";"低层";"精装修";"城市东座 (罗湖/莲塘)";"莲塘港莲路与罗沙公路交汇处"
"彩世界家园 高层两房 精装修 全齐出租 视野开阔";"5300元/月（押二付一）";"整租";"2室2厅1卫";"68平米";"南";"高层";"精装修";"彩世界家园 (罗湖/布心)";"东湖路与太白路交汇处"
"万科四季花城，环中线五和站，温馨装修，可配齐家私电，来电看房";"4500元/月（押二付一）";"整租";"2室2厅1卫";"74平米";"东";"中层";"精装修";"万科四季花城 (龙岗/坂田)";"梅观高速与布龙公路交汇处"
"七街公馆，次新小区，人脸识别入户，近.家私齐全，";"5000元/月（押一付三）";"整租";"1室1厅1卫";"42平米";"南";"中层";"豪华装修";"七街公馆 (福田/景田)";"景田北七街青海大厦西侧"
"南联口 精装三房 海航城";"4300元/月（押二付一）";"整租";"3室2厅1卫";"86平米";"南";"高层";"精装修";"深圳海航城 (龙岗/龙岗中心城)";"深惠路与碧新路交汇处（地铁三号线南联站C出口）"
"地铁口2房，看房方便，带家私家电全齐出租，拎包即可入住。";"7800元/月（押二付一）";"整租";"2室2厅1卫";"78平米";"西南";"低层";"简装修";"嘉隆星苑 (福田/香蜜湖)";"香梅北路2003号"
"鸿荣源自有租售复式大五房.豪华装修.拎包入住";"12000元/月（押二付一）";"整租";"5室2厅2卫";"106平米";"南";"低层";"豪华装修";"鸿荣源·壹成中心花园 (龙华区/龙华)";"人民路与建设路交汇处"
"陶润懿峰精装3房 业主诚心出租 车位充足 门口100米轻轨";"3800元/月（押二付一）";"整租";"3室2厅1卫";"75平米";"南";"中层";"精装修";"陶润懿峰 (龙华区/观澜)";"观澜大和路和环观南路交汇处"
"香蜜湖侨香公馆 豪华大3房 家私电花园式大社区 看房方便";"8500元/月（押二付一）";"整租";"3室2厅2卫";"110平米";"东南";"高层";"精装修";"侨香公馆 (福田/竹子林)";"福田区竹子林侨香路3028号"
"（今日家园 ）4室116平，客厅 宽敞大气，卧室搭配的很新颖，";"6200元/月（押二付一）";"整租";"4室2厅1卫";"116平米";"东南";"高层";"精装修";"今日家园 (罗湖/布心)";"东湖路与东昌路交汇处"
"交通方便 地铁站 东方银座 豪华装修 高层景观 韦德健身 人人乐";"6800元/月（押二付一）";"整租";"2室1厅1卫";"67平米";"南";"高层";"豪华装修";"东方银座公馆 (南山/前海)";"前海路与学府路交汇处以东"
"西丽学子荔园简装修南上班族的";"2800元/月（押二付一）";"整租";"1室0厅1卫";"31平米";"南";"高层";"简装修";"学子荔园 (南山/西丽)";"西丽镇官龙路10号"
"豪华装修3房 从未出租过 现在装修 清爽 整洁";"7600元/月（面议）";"整租";"3室2厅1卫";"86平米";"东南";"中层";"精装修";"皇御苑二期 (福田/皇岗)";"福田区滨河大道与皇岗路交汇处"
"东乐花园 安静位置 大两房出租 4500居家很合适";"4500元/月（押一付一）";"整租";"2室2厅2卫";"77平米";"南";"中层";"精装修";"东乐花园 (罗湖/布心)";"布心路和太宁路交界处"
"底价出租南北大冲城市花园采光好拎包随时就可以入住";"9500元/月（押二付一）";"整租";"2室2厅1卫";"80平米";"南北";"中层";"精装修";"大冲城市花园 (南山/科技园)";"深圳南山区大冲片区高新园铜鼓路168号"
"《新出》百花园一期中装三房、家私齐全可长租、00年新小区，诚租";"11500元/月（押二付一）";"整租";"3室2厅2卫";"111平米";"西南";"中层";"中装修";"百花园一期 (福田/华强)";"福田区上步中路与百花二路交汇处"
"泰阳硅谷 环境好 精装全齐 随时看房 -整租";"3300元/月（押二付一）";"整租";"1室1厅1卫";"30平米";"南";"高层";"精装修";"泰阳硅谷公寓 (南山/科技园)";"科技园中区科技北路与青梧路交汇处"
"红荔村 低层三房家私电全齐 租金便宜 看房有钥匙";"6500元/月（押二付一）";"整租";"3室2厅1卫";"75平米";"南北";"低层";"精装修";"红荔村 (福田/华强)";"福田区红荔路与华发北路交汇处"
"华强花园朝南2房2厅，仅8700月随时看房 随时入住住家都可";"8700元/月（押二付一）";"整租";"2室2厅1卫";"94平米";"南";"高层";"精装修";"鼎盛时代 (福田/华强)";"福田区福虹路16号附近"
"金地香蜜山（134平南北通三房、新出租保养好）随时";"13000元/月（押二付一）";"整租";"3室2厅2卫";"134平米";"南北";"中层";"精装修";"金地香蜜山 (福田/香蜜湖)";"香蜜路与侨香路交汇处"
"海滨花园小区方正三房 中间楼层 家私齐全 交通便利";"9000元/月（押二付一）";"整租";"3室2厅1卫";"61平米";"南";"中层";"豪华装修";"海滨花园(蛇口) (南山/蛇口)";"兴华路5号"
"中新街芳华苑 华侨城成熟老社区 精装3房 想租的赶紧来";"8500元/月（押二付一）";"整租";"3室2厅1卫";"87平米";"南";"低层";"精装修";"中新街社区 (南山/华侨城)";"南山区沙河街道侨城东街"
"恒裕滨城 豪华装修大三房 家私家电齐全 高层看海景";"23000元/月（押二付一）";"整租";"3室2厅2卫";"113平米";"南北";"高层";"豪华装修";"恒裕滨城 (南山/后海)";"区招商东路与中心路交汇处（邻近东滨沙河西立交桥）"
"科技园华润大冲新市花园，万象城，60平两房。精装修";"7500元/月（押二付一）";"整租";"2室1厅1卫";"60平米";"南";"中层";"精装修";"大冲新城花园 (南山/科技园)";"广东省深圳市南山区科技路654号"
"凯丽花园 深大口 藤讯 科兴 海王 住家 宿舍";"7500元/月（押二付一）";"整租";"3室1厅1卫";"99平米";"东南";"中层";"精装修";"凯丽花园 (南山/科技园)";"高新中四道与科技中二路交界"
"布心花园精装修大两房 干净整洁 舒适4000块";"4000元/月（押一付一）";"整租";"2室2厅1卫";"73平米";"南";"中层";"精装修";"布心花园三期 (罗湖/布心)";"布心东湖路与太白路交汇处"
"现实太残酷，找套房子不容易，好房横空出世";"4500元/月（押二付一）";"整租";"2室2厅1卫";"78平米";"南";"高层";"精装修";"旭景佳园 (龙岗/坂田)";"布龙公路与坂雪岗大道交汇处南侧"
"新出来 4+1房2卫 装修保养好 中间楼层看花园 招商海月花园二期";"14000元/月（押二付一）";"整租";"4室2厅2卫";"168平米";"南";"中层";"精装修";"招商海月花园二期 (南山/蛇口)";"海月路与工业八路交汇处"
"润府二期89平租16000元 东南向家私家电全齐随时看房";"16000元/月（押二付一）";"整租";"2室2厅2卫";"89平米";"东南";"中层";"简装修";"华润城二期 (南山/科技园)";"深圳科技园大冲片区的铜鼓路东面科发路北面"
"满足您心心念的复式情结，开阔全明不压抑，完整四房，家私齐全！";"12000元/月（面议）";"整租";"4室2厅2卫";"89平米";"南北";"高层";"精装修";"曦湾华府 (南山/蛇口)";"中心路372号"
"1号线桃园站 正规怡房一厅 精装修 拎包入住 近科技园";"3800元/月（押二付一）";"整租";"1室1厅1卫";"38平米";"南";"中层";"精装修";"友邻公寓 (南山/南油)";"南油大道与桃园路交汇处"
"金域蓝湾精装两房急租，看海景，家私电器全齐";"8500元/月（押二付一）";"整租";"2室2厅1卫";"78平米";"南";"低层";"豪华装修";"万科金域蓝湾二期 (福田/上下沙)";"红树林片区福荣路与沙嘴路交汇处"
"香山美墅 现代风格 业主装修 样版房标准家私电器首.次租";"20000元/月（押二付一）";"整租";"4室2厅3卫";"188平米";"南北";"中层";"豪华装修";"香山美墅 (南山/华侨城)";"华侨城文化创意园香山西街"
"长安花园 新出中装三房 干净整洁 看房方便 随时入住";"9000元/月（押二付一）";"整租";"3室2厅2卫";"103平米";"西北";"中层";"精装修";"长安花园 (福田/上步)";"百花四路与五路交汇处东侧"
